
2011002716-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 6,ALEXANDER ZUID,ROTTERDAM,44 'S-GRAVENLAND,ABRAM V RIJCKEVORSELPLN,ZO,02/01/2011,11:30,ZO,02/01/2011,15:00,2011,1,ZO,12:00-17:59,OPOE,FIETS,POINTER,ROADBIKE,ZWART
2011002738-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 6,ALEXANDER ZUID,ROTTERDAM,49 HET LAGE LAND,JAAP VAN DER HOEKPLAATS,ZO,02/01/2011,16:15,ZO,02/01/2011,17:40,2011,1,ZO,12:00-17:59,DAMES,FIETS,ALTRA,CYBER,CHROOMKLEURIG
2011002842-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,99 HOOGVLIET-ZUID,KRUISNETLAAN,MA,03/01/2011,13:30,MA,03/01/2011,14:10,2011,1,MA,12:00-17:59,HEREN,FIETS,GAZELLE,0,BEIGE
2011002853-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,BARENDRECHT,BARENDRECHT,24 BIJDORP,VOORDIJK,ZO,02/01/2011,17:00,ZO,02/01/2011,18:30,2011,1,ZO,12:00-17:59,HEREN,FIETS,GAZELLE,CHAMONIX EXCEL,ONBEKEND
2011003073-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 4,BINNENROTTE/OUDE HAVEN,ROTTERDAM,10 STADSDRIEHOEK,SLEPERSVEST,ZA,01/01/2011,01:00,ZA,01/01/2011,04:00,2011,1,ZA,00:00-05:59,DAMES,FIETS,LIMIT CLASSIC,NO FUSS,ZWART
2011003112-1,04/01/2011,A73,DIEFSTAL BROMFIETS/SNORFIETS,N,DISTRICT 6,ALEXANDER NOORD,ROTTERDAM,66 ZEVENKAMP,AAR,ZO,02/01/2011,20:30,MA,03/01/2011,14:00,2011,1,MA,00:00-05:59,,BROMFIETS,ONBEKEND,0,ROOD
2011003122-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 4,SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,12 COOL,BOOMGAARDSSTRAAT,ZA,01/01/2011,05:30,MA,03/01/2011,08:30,2011,1,ZO,06:00-11:59,OPOE,FIETS,HEMA, ,ZWART
2011003276-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,92 HOOGVLIET-NOORD,MANONSTRAAT,DI,04/01/2011,07:30,DI,04/01/2011,07:45,2011,1,DI,06:00-11:59,HEREN,FIETS,CAPRI,0,GRIJS
2011003354-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 1,MAASSLUIS,MAASSLUIS,03 KAPELPOLDER,KONINGSHOEK,DI,28/12/2010,12:00,MA,03/01/2011,15:00,2010,12,VR,12:00-17:59,DAMES,FIETS,SPARTA,0,ONBEKEND
2011003391-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,BARENDRECHT,BARENDRECHT,22 NIEUWELAND 5,NOCTURNESTRAAT,ZA,01/01/2011,18:50,ZA,01/01/2011,21:15,2011,1,ZA,18:00-23:59,DAMES,FIETS,GAZELLE,CHAMONIX EXCEL,ZILVERKLEURIG
